label,success,error,r0,hp,np,o,rotation
1696/20-05x-H,True,3165804.8884700104,1509.610680918704,0.1230402995344563,3,0.22802686721702445,5.471658763920915
1696/18-05x-H,True,4567063.829817054,1441.2351979593732,0.08606948981759392,4,0.04129808001230805,2.568202625405808
1696/16-05x-H,True,5806819.273576347,1577.5616419134801,0.04866291775490921,3,0.2613790551640254,2.1861358183167066
1696/40-05x-H,True,6532611.988911498,1665.2078204963996,0.04155464528470659,3,0.13987386001939195,2.6713380641505124
1696/43-05x-H,True,3487597.3804405,1380.2616057098326,0.06565637329606948,3,0.11045455097513399,3.303301900853166
1696/13-05x-H,True,3463452.6224474083,1530.837579588723,0.03153679594904613,3,0.12188928473181665,4.990409113290696
1696/34-05x-H,True,16414901.797646573,1487.1421533414955,0.24138484714038572,3,0.28727522734694233,2.699950084781588
1696/29-05x-H,True,2727897.2617224795,1627.7068831581587,0.046575244212700526,3,0.17278129485479402,0.13025632724492492
1696/44-05x-H,True,3900133.8074582117,1360.210139692737,0.08931992129602412,3,0.05533289513040915,2.004132997257547
1696/10-05x-H,True,11596672.385599691,1354.5330567221429,0.1729138824718974,4,0.45160824633725677,4.441745508089273
1696/26-05x-H,True,2879524.1653079134,1435.144664655429,0.18486557903436163,3,0.012314697802041362,5.627072462387591
1696/21-05x-H,True,5680758.025039874,1583.0646469432663,0.085523417974525,3,0.17587298269755713,5.5314306786364185
1696/47-05x-H,True,19812754.53070597,1587.8552270855928,0.11016584125622503,3,0.19802547301435566,4.922001782164996
1696/02-05x-H,True,1538921.7817686351,1367.4758491555576,0.04316538732172442,4,0.08763130703620647,0.7128453037352573
1696/07-05x-H,True,1886893.7266861054,1504.339371402889,0.0456813269884573,3,0.07221667151778478,4.965174140620312
1696/12-05x-H,True,4958520.858778157,1594.3809558447845,0.04235572431040637,7,0.07316808290845381,3.4774736789091802
1696/08-05x-H,True,15353563.57118874,1505.6264880840915,0.15068912772731705,4,0.5288756438298391,1.5121728536363797
1696/46-05x-H,True,1200924.3426428628,1339.4855014869984,0.13374606309828094,3,0.06859105022589057,2.8298844466541713
1696/39-05x-H,True,4142478.9195954353,1342.8290148566757,0.1377308914445815,3,0.03575590059444481,3.7088843804666114
1696/27-05x-H,True,23839554.159752708,1800.5155535635217,0.12450149791867708,4,0.14780351030281505,3.580711553127706
1696/38-05x-H,True,7470888.478892628,1456.7018471482634,0.17811114714367104,3,0.22760185123241553,0.3560543007999911
1696/25-05x-H,True,6445760.178914099,1584.378391778947,0.032460613158701385,5,0.16442053067342183,3.9899434829291085
1696/17-05x-H,True,3245714.889732583,1444.2620704578515,0.05808964630871253,4,0.21076719603023375,2.622925264014166
1696/19-05x-H,True,624369861.0509284,2292.382357104489,0.12423521920539826,4,0.13439726500742846,0.6207826949473372
1696/24-05x-H,True,2967212.484670131,1608.3993631528858,0.02538621291401851,5,0.1897859354583915,6.1287670066482445
1696/30-05x-H,True,3701110.4362837565,1467.972957180231,0.024911858289994065,3,0.20785656079509943,3.5259128497208096
1696/45-05x-H,True,8450090.925440213,1714.530433552201,0.10002638865613521,3,0.1712770938368492,3.021041634255727
1696/50-05x-H,True,12935208.598279549,1498.8424103408288,0.21572006830664356,3,0.10032931797433034,0.22738406931983646
1696/28-05x-H,True,4815448.545364067,1439.0697530697505,0.05271613928139764,3,0.18565305739219795,5.125651310674316
1696/04-05x-H,True,5294183.308273124,1481.4727894356395,0.06108389329629381,3,0.12719416874679348,3.287140561073209
1696/35-05x-H,True,3286068.0137711028,1365.4811808632198,0.08482412988005121,3,0.04554330050994777,0.1379515916625335
1696/11-05x-H,True,15197550.106775785,1529.1922133135713,0.18856990509575225,3,0.26883656709904563,1.3110596788807274
1696/01-05x-H,True,2285114.9859064976,1575.9247182098484,0.037897531603028715,3,0.12344118907807787,1.6642260320778528
1696/15-05x-H,True,3461666.1621034145,1589.2408204842338,0.08400073251121522,3,0.12869367745902513,3.8028628102288344
1696/37-05x-H,True,3795165.512566519,1377.3290387669713,0.05287479915588301,3,0.08280845797842508,4.335308957676924
1696/09-05x-H,True,16057659.993345607,1590.1388340838205,0.1290675318737533,3,0.24407852510776298,2.4414876744961256
1696/49-05x-H,True,3206625.9995170506,1484.657789218277,0.043507813486155,7,0.24533963634155503,3.1036418925433744
1696/14-05x-H,True,4821706.229659308,1472.4567887113378,0.1420155039300191,3,0.12457252727936353,0.911302984046254
1696/33-05x-H,True,3404656.18493312,1570.9056147049514,0.0428474725034902,4,0.18524331613242456,4.585509346449368
1696/03-05x-H,True,2534456.6044462635,1452.002605439842,0.06160125387134613,3,0.07630203216016054,3.2653005234365944
1696/42-05x-H,True,4411296.665231545,1530.9157194935103,0.087023772301553,3,0.02718990023734394,1.439925522901205
1696/48-05x-H,True,5292719.615820971,1269.8057248084788,0.1538877435392303,3,0.1737791322013728,2.86759949681106
1696/22-05x-H,True,3001954.3758332487,1597.4448385012906,0.0568808618418002,3,0.2157709742145941,3.2074320689288363
1696/23-05x-H,True,751763.3508503793,1300.3252266124396,0.11482125555416896,3,0.08022505057613316,6.268755080846993
1696/36-05x-H,True,2769700.060370531,1581.4606195981794,0.13779863874668802,3,0.08913224101140205,5.190978717234924
1696/05-05x-H,True,934991.8042714609,1631.3841730056276,0.0373253467179064,3,0.09031216632445263,2.187362532945395
1696/31-05x-H,True,7020514.13099128,1306.6256588767383,0.12234141225056176,3,0.08964975718734679,5.379419485069417
1696/41-05x-H,True,7244496.78781398,1427.3168994206135,0.02791726972708739,3,0.14889713817416778,2.9975586472672724
1696/06-05x-H,True,2921718.0517238406,1304.2389952641806,0.13199332363118588,3,0.1832541861254156,3.115017315121958
